Product,Date,Open,High,Low,Close,Adj Close,Volume
APPL,2010-08-02,37.205715,37.512856,37.08857,37.407143,25.225733,107013900
APPL,2010-08-03,37.287144,37.60857,37.060001,37.418571,25.23345,104413400
APPL,2010-08-04,37.548573,37.754284,37.187141,37.568573,25.334602,105093800
APPL,2010-08-05,37.389999,37.597141,37.221428,37.385715,25.211288,72274300
APPL,2010-08-06,37.111427,37.355713,36.804287,37.155716,25.056183,111224400
APPL,2010-08-09,37.354286,37.450001,37.081429,37.392857,25.216099,75782000
APPL,2010-08-10,37.121429,37.207142,36.792858,37.058571,24.990675,112980000
APPL,2010-08-11,36.485714,36.527142,35.687141,35.741428,24.102459,155013600
APPL,2010-08-12,35.241428,36.157143,35.16,35.970001,24.256594,133730100
APPL,2010-08-13,35.950001,35.982857,35.584286,35.585712,23.997446,88717300
APPL,2010-08-16,35.368572,35.715714,35.23143,35.377144,23.856789,79607500
APPL,2010-08-17,35.725716,36.375713,35.599998,35.995716,24.273932,105660100
APPL,2010-08-18,36.05143,36.381428,35.939999,36.152859,24.379906,84924000
APPL,2010-08-19,36.119999,36.21143,35.525715,35.697144,24.07259,106676500
APPL,2010-08-20,35.627144,36.274284,35.57143,35.662857,24.049469,96057500
APPL,2010-08-23,35.970001,36,35.035713,35.114285,23.679531,103510400
APPL,2010-08-24,34.667141,34.714287,34.092857,34.275715,23.11404,150641400
APPL,2010-08-25,34.005714,34.855713,33.885715,34.69857,23.399199,149216900
APPL,2010-08-26,35.064285,35.107143,34.325714,34.325714,23.147758,116626300
APPL,2010-08-27,34.535713,34.658573,33.651428,34.517143,23.276846,137097800
APPL,2010-08-30,34.394287,35.107143,34.382858,34.642857,23.361626,95822300
APPL,2010-08-31,34.549999,34.937141,34.335712,34.728573,23.41943,105196700
APPL,2010-09-01,35.352856,35.922855,35.182858,35.761429,24.115936,174259400
APPL,2010-09-02,35.894287,36.024284,35.509998,36.024284,24.293192,103856900
APPL,2010-09-03,36.441429,36.968571,36.357143,36.967144,24.929018,130197200
APPL,2010-09-07,36.662857,37.075714,36.607143,36.830002,24.836544,85639400
APPL,2010-09-08,37.111427,37.77,37.014286,37.560001,25.328819,131637800
APPL,2010-09-09,37.862858,38.074287,37.560001,37.581429,25.343269,109643800
APPL,2010-09-10,37.598572,37.785713,37.342857,37.630001,25.37603,96885600
APPL,2010-09-13,37.974285,38.325714,37.965714,38.148571,25.725721,97195000
APPL,2010-09-14,38.029999,38.452858,37.931427,38.294285,25.823986,102037600
APPL,2010-09-15,38.310001,38.625713,38.262856,38.602856,26.032076,107342200
APPL,2010-09-16,38.605713,39.524284,38.5,39.509998,26.64381,163025800
APPL,2010-09-17,39.669998,39.708572,39.097141,39.33857,26.528202,158619300
APPL,2010-09-20,39.439999,40.540001,39.407143,40.46143,27.285416,164669400
APPL,2010-09-21,40.55143,41.049999,40.398571,40.53857,27.337435,167018600
APPL,2010-09-22,40.387142,41.139999,40.344284,41.107143,27.720854,146322400
APPL,2010-09-23,40.904285,41.822857,40.857143,41.274284,27.833574,196529200
APPL,2010-09-24,41.728573,41.932858,41.507141,41.759998,28.161108,162372000
APPL,2010-09-27,41.997143,42.104286,41.572857,41.594284,28.04936,120708700
APPL,2010-09-28,41.681427,41.681427,39.285713,40.98,27.635122,258760600
APPL,2010-09-29,41.032856,41.401428,40.857143,41.052856,27.684246,117411000
APPL,2010-09-30,41.285713,41.42857,40.17857,40.535713,27.335506,168347900
APPL,2010-10-01,40.878571,40.939999,40.192856,40.360001,27.217014,112035700
APPL,2010-10-04,40.228573,40.414288,39.681427,39.805714,26.843224,108825500
APPL,2010-10-05,40.285713,41.349998,40.259998,41.277142,27.835491,125491800
APPL,2010-10-06,41.369999,41.712856,40.751427,41.312859,27.859579,167717200
APPL,2010-10-07,41.477142,41.497143,40.987144,41.317142,27.862474,102099900
APPL,2010-10-08,41.672855,42.07143,41.42857,42.009998,28.329699,164600800
APPL,2010-10-11,42.105713,42.462856,42.085712,42.194286,28.453972,106938300
APPL,2010-10-12,42.201427,42.785713,41.784286,42.648571,28.760324,139636000
APPL,2010-10-13,42.885715,43.137142,42.828571,42.877144,28.914467,157523100
APPL,2010-10-14,43.098572,43.209999,42.914288,43.187141,29.123518,108824100
APPL,2010-10-15,43.919998,45,43.558571,44.962856,30.32098,230548500
APPL,2010-10-18,45.495716,45.57143,44.898571,45.42857,30.635035,273252700
APPL,2010-10-19,43.342857,44.824287,42.860001,44.212856,29.815212,308196000
APPL,2010-10-20,44.142857,44.892857,43.83857,44.361427,29.915398,180406100
APPL,2010-10-21,44.622856,44.962856,43.828571,44.217144,29.818104,137865000
APPL,2010-10-22,44.152859,44.291428,43.757141,43.924286,29.620605,93194500
APPL,2010-10-25,44.155716,44.514286,44.062859,44.119999,29.752592,98115500
APPL,2010-10-26,43.83857,44.248573,43.664288,44.007141,29.676491,98232400
APPL,2010-10-27,43.950001,44.271427,43.657143,43.975716,29.655298,99750700
APPL,2010-10-28,43.992859,44,42.985714,43.605713,29.405785,137762800
APPL,2010-10-29,43.46143,43.697144,42.98143,42.997143,28.995392,107627800
APPL,2010-11-01,43.174286,43.657143,43.171429,43.454285,29.303665,105972300
APPL,2010-11-02,43.857143,44.312859,43.857143,44.194286,29.802689,108482500
APPL,2010-11-03,44.48143,44.697144,44.075714,44.685715,30.134087,127087100
APPL,2010-11-04,45.064285,45.740002,45.004284,45.467144,30.661055,160622000
APPL,2010-11-05,45.427143,45.652859,45.25,45.304287,30.551226,90313300
APPL,2010-11-08,45.314285,45.681427,45.251427,45.517143,30.694767,70439600
APPL,2010-11-09,45.864285,45.900002,44.92857,45.154285,30.450064,95886000
APPL,2010-11-10,45.234287,45.53857,44.792858,45.432858,30.637928,96056800
APPL,2010-11-11,45,45.485714,44.892857,45.235714,30.504982,90321000
APPL,2010-11-12,45.142857,45.214287,43.375713,44.004284,29.674564,198961700
APPL,2010-11-15,44.065716,44.362858,43.752857,43.862858,29.579189,100901500
APPL,2010-11-16,43.674286,43.942856,42.759998,43.084286,29.054152,164412500
APPL,2010-11-17,43.028572,43.427143,42.537144,42.92857,28.949152,119862400
APPL,2010-11-18,43.599998,44.238571,43.527142,44.061428,29.713097,123622800
APPL,2010-11-19,43.995716,44.057144,43.605713,43.818573,29.549324,96210800
APPL,2010-11-22,43.811428,44.765713,43.695713,44.765713,30.188038,98268800
APPL,2010-11-23,44.349998,44.535713,43.794285,44.104286,29.741999,129861900
APPL,2010-11-24,44.57143,45.057144,44.535713,44.971428,30.326761,103431300
APPL,2010-11-26,44.82,45.385715,44.705715,45,30.346024,59396400
APPL,2010-11-29,45.07143,45.354286,44.482857,45.267143,30.526176,111446300
APPL,2010-11-30,44.791428,44.908573,44.41,44.450001,29.975128,125464500
APPL,2010-12-01,45.03857,45.392857,45,45.200001,30.4809,115437700
APPL,2010-12-02,45.361427,45.57143,44.984287,45.450001,30.649488,115709300
APPL,2010-12-03,45.287144,45.521427,45.191429,45.348572,30.581085,85523200
APPL,2010-12-06,45.52,46.047142,45.488571,45.735714,30.842159,112120400
APPL,2010-12-07,46.257141,46.284286,45.445713,45.458572,30.65527,97863500
APPL,2010-12-08,45.66143,45.860001,45.30143,45.85857,30.925007,80483900
APPL,2010-12-09,46.01857,46.07143,45.574287,45.68,30.804588,73537800
APPL,2010-12-10,45.664288,45.864285,45.514286,45.794285,30.881659,65627800
APPL,2010-12-13,46.33857,46.437141,45.857143,45.952858,30.988594,109953900
APPL,2010-12-14,45.96143,46.077145,45.57143,45.755714,30.855637,87752000
APPL,2010-12-15,45.714287,46.142857,45.598572,45.765713,30.862387,104328000
APPL,2010-12-16,45.869999,46.087143,45.728573,45.892857,30.948128,80507700
APPL,2010-12-17,45.947144,45.970001,45.747143,45.80143,30.886467,96732300
APPL,2010-12-20,45.942856,46.17857,45.46143,46.029999,31.040613,96402600
APPL,2010-12-21,46.142857,46.341427,46.007141,46.314285,31.232323,64088500
APPL,2010-12-22,46.337143,46.531429,46.221428,46.451427,31.324804,66480400
APPL,2010-12-23,46.42857,46.450001,46.167141,46.228573,31.174532,55789300
APPL,2010-12-27,46.121429,46.491428,45.931427,46.382858,31.278559,62454000
APPL,2010-12-28,46.558571,46.665714,46.437141,46.495716,31.35467,43981000
APPL,2010-12-29,46.602856,46.635715,46.442856,46.470001,31.337339,40784800
APPL,2010-12-30,46.497143,46.501427,46.150002,46.237144,31.180307,39373600
APPL,2010-12-31,46.135715,46.21143,45.901428,46.080002,31.074341,48377000
APPL,2011-01-03,46.52,47.18,46.405716,47.081429,31.749659,111284600
APPL,2011-01-04,47.491428,47.5,46.878571,47.327145,31.915356,77270200
APPL,2011-01-05,47.078571,47.762856,47.07143,47.714287,32.176426,63879900
APPL,2011-01-06,47.817142,47.892857,47.557144,47.675713,32.150406,75107200
APPL,2011-01-07,47.712856,48.049999,47.414288,48.017143,32.380657,77982800
APPL,2011-01-10,48.404285,49.032856,48.167141,48.921429,32.990463,112140000
APPL,2011-01-11,49.26857,49.279999,48.495716,48.805714,32.912434,111027000
APPL,2011-01-12,49.035713,49.204285,48.857143,49.202858,33.180252,75647600
APPL,2011-01-13,49.308571,49.52,49.121429,49.382858,33.30164,74195100
APPL,2011-01-14,49.412857,49.782856,49.205715,49.782856,33.571381,77210000
APPL,2011-01-18,47.074287,49.251427,46.57143,48.664288,32.817062,470249500
